function,lr_regime,lr,optimizer,avg_final_loss,std_final_loss,avg_conv_step,stability,best_final
Rosenbrock-2D,conservative,0.005,AdamW,1.4475494821866353,0.8354401367053612,643.3333333333334,1.0,0.5131167769432068
Rosenbrock-2D,conservative,0.005,Finsler-Full,19.76436056693395,14.125514257076285,753.3333333333334,1.0,0.8046802878379822
Rosenbrock-2D,conservative,0.005,Finsler-NoAnna,19.76436056693395,14.125514257076285,753.3333333333334,1.0,0.8046802878379822
Rosenbrock-2D,conservative,0.005,Finsler-AnnaOnly,1.4480263988176982,0.8354895156794699,643.3333333333334,1.0,0.5130887627601624
Rosenbrock-2D,standard,0.01,AdamW,0.9032882452011108,0.7079345578904491,456.6666666666667,1.0,0.29163265228271484
Rosenbrock-2D,standard,0.01,Finsler-Full,1.4225046932697296,0.8009518245992349,641.3333333333334,1.0,0.4879094064235687
Rosenbrock-2D,standard,0.01,Finsler-NoAnna,1.4225046932697296,0.8009518245992349,641.3333333333334,1.0,0.4879094064235687
Rosenbrock-2D,standard,0.01,Finsler-AnnaOnly,0.9033409158388773,0.7079936319879532,456.3333333333333,1.0,0.29163187742233276
Rosenbrock-2D,aggressive,0.05,AdamW,0.46749523530403775,0.34576791137796664,250.0,1.0,0.030440278351306915
Rosenbrock-2D,aggressive,0.05,Finsler-Full,0.7523075516025225,0.5126145532469696,406.3333333333333,1.0,0.11107247322797775
Rosenbrock-2D,aggressive,0.05,Finsler-NoAnna,0.7523075516025225,0.5126145532469696,406.3333333333333,1.0,0.11107247322797775
Rosenbrock-2D,aggressive,0.05,Finsler-AnnaOnly,0.467432226985693,0.3456943770573135,250.0,1.0,0.03043796494603157
Sphere-5D,conservative,0.005,AdamW,3.367816607157389,0.10044709028265915,800.0,1.0,3.249810218811035
Sphere-5D,conservative,0.005,Finsler-Full,11.975470225016275,3.586867502215464,800.0,1.0,9.390558242797852
Sphere-5D,conservative,0.005,Finsler-NoAnna,11.975470225016275,3.586867502215464,800.0,1.0,9.390558242797852
Sphere-5D,conservative,0.005,Finsler-AnnaOnly,3.36788002649943,0.10011980466164273,800.0,1.0,3.250545024871826
Sphere-5D,standard,0.01,AdamW,0.05625899570683638,0.03414210042743109,743.6666666666666,1.0,0.030860019847750664
Sphere-5D,standard,0.01,Finsler-Full,2.489573081334432,0.5372155865320651,800.0,1.0,1.7945959568023682
Sphere-5D,standard,0.01,Finsler-NoAnna,2.489573081334432,0.5372155865320651,800.0,1.0,1.7945959568023682
Sphere-5D,standard,0.01,Finsler-AnnaOnly,0.05627483626206716,0.034115007872772135,743.6666666666666,1.0,0.030843254178762436
Sphere-5D,aggressive,0.05,AdamW,2.967945763989931e-25,7.772003700955831e-26,132.66666666666666,1.0,2.193038739933136e-25
Sphere-5D,aggressive,0.05,Finsler-Full,1.0685379597378633e-10,1.5108338943006678e-10,277.6666666666667,1.0,3.0888119447976866e-15
Sphere-5D,aggressive,0.05,Finsler-NoAnna,1.0685379597378633e-10,1.5108338943006678e-10,277.6666666666667,1.0,3.0888119447976866e-15
Sphere-5D,aggressive,0.05,Finsler-AnnaOnly,2.7549414866666795e-25,4.2833923081242224e-26,132.66666666666666,1.0,2.1492897467247433e-25
